director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock,Action Adventure Sci-Fi Thriller,Serenity
Charles S. Dutton,Omar Epps,Charles S. Dutton,Tim Daly,Biography Drama Romance Sport,Against the Ropes
Richard Lester,Margot Kidder,Robert Vaughn,Jackie Cooper,Action Comedy Sci-Fi,Superman III
Peter Segal,Robert De Niro,Sylvester Stallone,Oscar Gale,Comedy Sport,Grudge Match
John Woo,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao,Action Adventure Drama History War,Red Cliff
Andy Tennant,Ethan Embry,Mary Lynn Rajskub,Courtney Gains,Comedy Romance,Sweet Home Alabama
Robert Luketic,Gerard Butler,John Michael Higgins,Eric Winter,Comedy Romance,The Ugly Truth
Jonathan Lynn,Austin Pendleton,Phil Hartman,Max Casella,Comedy,Sgt. Bilko
Robert Rodriguez,Steve Buscemi,Alexa PenaVega,Emily Osment,Action Adventure Comedy Family Sci-Fi,Spy Kids 2: Island of Lost Dreams
David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes,Action Adventure Mystery Sci-Fi Thriller,Star Trek: Generations
Kar-Wai Wong,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui,Action Biography Drama,The Grandmaster
Francis Lawrence,Robert Pattinson,Christoph Waltz,James Frain,Drama Romance,Water for Elephants
unknown,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston,Comedy Family Sci-Fi,3rd Rock from the Sun            
Yuefeng Song,Blythe Auffarth,Bianca Collins,Jiao Xu,Adventure Animation Family Fantasy,Dragon Nest: Warriors' Dawn
Norman Jewison,Denzel Washington,Vincent Pastore,Deborah Kara Unger,Biography Drama Sport,The Hurricane
Michael Apted,Bill Cobbs,Jeff Kober,Billy Campbell,Crime Drama Thriller,Enough
David Mirkin,Sarah Silverman,Anne Bancroft,Jeffrey Jones,Comedy Crime Romance,Heartbreakers
Andy Fickman,D.B. Woodside,Daniella Alonso,Eduardo Verástegui,Action Comedy Crime,Paul Blart: Mall Cop 2
Luis Mandoki,Sonia Braga,Shirley Knight,Kari Matchett,Drama Romance,Angel Eyes
John Pasquin,Jim Belushi,Ken Marino,Kelly Lynch,Comedy Drama,Joe Somebody
Roman Polanski,Johnny Depp,Frank Langella,Lena Olin,Mystery Thriller,The Ninth Gate
Michael Apted,J.K. Simmons,Paul Guilfoyle,Bill Nunn,Crime Drama Mystery Thriller,Extreme Measures
Stephen Herek,Beth Grant,Dagmara Dominczyk,Matthew Glave,Drama Music,Rock Star
Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey,Drama,Precious
Ridley Scott,Jeff Bridges,Jason Marsden,Ethan Embry,Adventure Drama,White Squall
John Carpenter,Wilford Brimley,Richard Masur,David Clennon,Horror Mystery Sci-Fi,The Thing
David Twohy,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine,Action Sci-Fi Thriller,Riddick
Jeb Stuart,Gregory Scott Cummins,Claudia Stedelin,Ted Markland,Crime Mystery Thriller,Switchback
Steve Miner,Tom Skerritt,Usher Raymond,Leonor Varela,Action Adventure Drama Thriller Western,Texas Rangers
Gil Kenan,Bill Murray,Toby Jones,Harry Treadaway,Adventure Family Fantasy Sci-Fi,City of Ember
Paul Thomas Anderson,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild,Drama,The Master
David Leland,Hayden Christensen,Ryan Cartwright,David Walliams,Adventure Comedy History Romance,Virgin Territory
Gary Fleder,Dennis Quaid,Nicole Beharie,Charles S. Dutton,Biography Drama Sport,The Express
J Blakeson,Chloë Grace Moretz,Maggie Siff,Nick Robinson,Action Adventure Sci-Fi Thriller,The 5th Wave
Ryan Coogler,Sylvester Stallone,Phylicia Rashad,Graham McTavish,Drama Sport,Creed
Ben Affleck,Jeremy Renner,Jon Hamm,Owen Burke,Crime Drama Thriller,The Town
Kirk Jones,Anna Kendrick,Dennis Quaid,Thomas Lennon,Comedy Drama Romance,What to Expect When You're Expecting
Ethan Coen,J.K. Simmons,Brad Pitt,Kevin Sussman,Comedy Drama,Burn After Reading
Jennifer Flackett,Gerard Butler,Anthony Simcoe,Christopher James Baker,Adventure Comedy Family Fantasy,Nim's Island
Ron Howard,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Action Biography Drama Sport,Rush
Paul Thomas Anderson,Patton Oswalt,Neil Flynn,Jim Meskimen,Drama,Magnolia
Kevin Smith,Bruce Willis,Tracy Morgan,Kevin Pollak,Action Comedy Crime,Cop Out
Christian Ditter,Alison Brie,Damon Wayans Jr.,Nicholas Braun,Comedy Romance,How to Be Single
Charles Martin Smith,Morgan Freeman,Michael Roark,Harry Connick Jr.,Drama Family,Dolphin Tale
Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick,Drama Fantasy Romance,Twilight
Nick Cassavetes,Denzel Washington,Laura Harring,Anne Heche,Crime Drama Thriller,John Q
Les Mayfield,Peter Greene,Dave Chappelle,Tamala Jones,Action Comedy Crime Thriller,Blue Streak
Rawson Marshall Thurber,Laura-Leigh,Molly C. Quinn,Thomas Lennon,Comedy Crime,We're the Millers
Fedor Bondarchuk,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov,Action Adventure Sci-Fi,Obitaemyy ostrov
Jonathan Mostow,Kathleen Quinlan,M.C. Gainey,J.T. Walsh,Action Crime Drama Mystery Thriller,Breakdown
Irvin Kershner,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera,Action Adventure Thriller,Never Say Never Again
Steve Pink,Charlie McDermott,Collette Wolfe,Crystal Lowe,Comedy Sci-Fi,Hot Tub Time Machine
Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,Drama Family,Dolphin Tale 2
John Frankenheimer,Charlize Theron,James Frain,Clarence Williams III,Action Adventure Crime Drama Family Fantasy Romance Thriller,Reindeer Games
F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate,Action Crime Drama Thriller,A Man Apart
Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray,Comedy Drama Romance,Aloha
Rob Reiner,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,Drama History,Ghosts of Mississippi
Scott Hicks,Rick Yune,Reeve Carney,Daniel von Bargen,Drama Mystery Romance Thriller,Snow Falling on Cedars
Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones,Drama Horror Mystery Thriller,The Rite
Andrew Niccol,Blair Underwood,Xander Berkeley,Mason Gamble,Drama Sci-Fi Thriller,Gattaca
Andrew Bergman,Stockard Channing,Nathan Lane,John Larroquette,Biography Comedy Romance,Isn't She Great
Kirk De Micco,Cheryl Hines,Kenan Thompson,Omid Abtahi,Adventure Animation Comedy Family Sci-Fi,Space Chimps
Chris Rock,Bernie Mac,Dylan Baker,Tracy Morgan,Comedy,Head of State
Todd Phillips,Bradley Cooper,Rob Riggle,Mike Epps,Comedy,The Hangover
Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,Action Biography Drama History,Ip Man 3
Jay Roach,Muse Watson,Verne Troyer,Robert Wagner,Action Adventure Comedy Crime,Austin Powers: The Spy Who Shagged Me
Tim Burton,Michael Gough,Jack Palance,William Hootkins,Action Adventure,Batman
Roland Joffé,Jordi Mollà,Dougray Scott,Lily Cole,Biography Drama War,There Be Dragons
Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson,Action Crime Thriller,Lethal Weapon 3
John Lee Hancock,Catherine Dyer,Quinton Aaron,Kim Dickens,Biography Drama Sport,The Blind Side
unknown,Jon Foo,Aimee Garcia,Wendie Malick,Action Comedy Crime,Rush Hour            
Robert Rodriguez,Alexa PenaVega,Cheech Marin,Daryl Sabara,Action Adventure Comedy Family Sci-Fi,Spy Kids
Seth Gordon,Kevin Spacey,Lindsay Sloane,Reginald Ballard,Comedy Crime,Horrible Bosses
Ethan Coen,Matt Damon,Jeff Bridges,Bruce Green,Adventure Drama Western,True Grit
David Frankel,Meryl Streep,Anne Hathaway,Rebecca Mader,Comedy Drama Romance,The Devil Wears Prada
Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Mystery Sci-Fi,Star Trek: The Motion Picture
Seth Gordon,Jon Favreau,Eric Stonestreet,T.I.,Comedy Crime,Identity Thief
Martin Scorsese,Robert De Niro,Robert Mitchum,Joe Don Baker,Crime Thriller,Cape Fear
Robert Luketic,Kevin Spacey,Jim Sturgess,Josh Gad,Crime Drama Thriller,21
Judd Apatow,Amy Schumer,Randall Park,Josh Segarra,Comedy Romance,Trainwreck
Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd,Comedy Romance,Guess Who
Anthony Minghella,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,Drama Romance War,The English Patient
Curtis Hanson,Kevin Spacey,Matt McCoy,Paul Guilfoyle,Crime Drama Mystery Thriller,L.A. Confidential
Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun,Adventure Comedy Family Sci-Fi,Sky High
Frank Oz,Tom Selleck,Wilford Brimley,Lauren Ambrose,Comedy,In & Out
Roger Donaldson,Natasha Henstridge,Marg Helgenberger,Jordan Lund,Action Horror Sci-Fi Thriller,Species
Wes Craven,Johnny Depp,Lin Shaye,Amanda Wyss,Horror,A Nightmare on Elm Street
Tarsem Singh,Dylan Baker,Jake Weber,James Gammon,Horror Sci-Fi Thriller,The Cell
Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,Action Adventure,The Man in the Iron Mask
Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh,Biography Drama Family History Sport,Secretariat
Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako,Action Adventure Animation Comedy Family Fantasy Sci-Fi,TMNT
Michael Tollin,Alfre Woodard,Riley Smith,Debra Winger,Biography Drama Sport,Radio
Will Gluck,Mila Kunis,Justin Timberlake,Masi Oka,Comedy Romance,Friends with Benefits
Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,Comedy,Neighbors 2: Sorority Rising
John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak,Biography Comedy Drama History Music,Saving Mr. Banks
Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.,Biography Drama History Romance,Malcolm X
Judd Apatow,Charlyne Yi,Maude Apatow,Mackenzie Aladjem,Comedy,This Is 40
Walt Becker,Robin Williams,Bernie Mac,Ann-Margret,Comedy Family,Old Dogs
Patrick Tatopoulos,Craig Parker,Kevin Grevioux,Steven Mackintosh,Action Adventure Fantasy Sci-Fi Thriller,Underworld: Rise of the Lycans
Ken Kwapis,Robin Williams,Christine Taylor,Mindy Kaling,Comedy Romance,License to Wed
Dennis Dugan,Jon Lovitz,Jon Heder,Tim Meadows,Comedy Romance Sport,The Benchwarmers
Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins,Comedy Romance,Must Love Dogs
Mike Newell,Johnny Depp,Al Pacino,Anne Heche,Biography Crime Drama,Donnie Brasco
Paul W.S. Anderson,Milla Jovovich,Jaymes Butler,Colin Salmon,Action Horror Sci-Fi,Resident Evil
Tobe Hooper,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,Fantasy Horror,Poltergeist
Ethan Coen,J.K. Simmons,Tom Hanks,Stephen Root,Comedy Crime Thriller,The Ladykillers
John Moore,Mila Kunis,Beau Bridges,Jamie Hector,Action Crime Drama Mystery Thriller,Max Payne
Andrew Niccol,Matt Bomer,Olivia Wilde,Justin Timberlake,Action Sci-Fi Thriller,In Time
Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley,Comedy Romance,The Back-up Plan
Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day,Comedy Drama Romance,Something Borrowed
unknown,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning,Drama Romance,Hit the Floor            
Gil Junger,Tom Wilkinson,Marsha Thomason,Vincent Regan,Adventure Comedy Fantasy,Black Knight
Michael Ritchie,Tatum O'Neal,Vic Morrow,Joyce Van Patten,Comedy Drama Family Sport,The Bad News Bears
Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue,Action Adventure Comedy Thriller,Street Fighter
Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard,Biography Drama War,The Pianist
Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson,Horror Mystery Thriller,From Hell
Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,Drama Family Fantasy,The Nativity Story
Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt,Horror,House of Wax
Mike Nichols,Natalie Portman,Julia Roberts,Colin Stinton,Drama Romance,Closer
Clint Eastwood,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,Biography Crime Drama,J. Edgar
Alexandre Aja,Jason Flemyng,Cameron Boyce,Julian Glover,Horror Mystery,Mirrors
Michael Rymer,Aaliyah,Lena Olin,Bruce Spence,Drama Fantasy Horror,Queen of the Damned
Stephen Hopkins,Adam Baldwin,Robert Davi,Kevin Peter Hall,Action Horror Sci-Fi,Predator 2
Gregory Hoblit,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,Crime Drama Thriller,Untraceable
Hugh Wilson,Brendan Fraser,Sissy Spacek,Douglas Smith,Comedy Drama Romance Sci-Fi,Blast from the Past
Mike Hodges,Brian Blessed,William Hootkins,Sam J. Jones,Action Adventure Sci-Fi,Flash Gordon
Kevin Smith,Stephen Root,Mike Starr,George Carlin,Comedy Drama Romance,Jersey Girl
Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo,Action Crime Mystery Thriller,Alex Cross
Clint Eastwood,Kevin Spacey,Bob Gunton,Leon Rippy,Crime Drama Mystery Thriller,Midnight in the Garden of Good and Evil
Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,Action Crime Thriller,Heist
Susanna White,Daniel Mays,Bill Bailey,Eros Vlahos,Comedy Family Fantasy,Nanny McPhee Returns
Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle,Biography Crime Drama,Hoffa
Chris Carter,Mitch Pileggi,Callum Rennie,Nicki Aycox,Drama Mystery Sci-Fi Thriller,The X Files: I Want to Believe
Tommy O'Haver,Anne Hathaway,Steve Coogan,Joanna Lumley,Comedy Family Fantasy Romance,Ella Enchanted
Peter Landesman,Will Smith,Eddie Marsan,Albert Brooks,Biography Drama Sport,Concussion
John Singleton,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,Action Mystery Thriller,Abduction
Gary Chapman,Jim Broadbent,Olivia Williams,Pip Torrens,Adventure Animation Comedy Family War,Valiant
Curtis Hanson,Robert Downey Jr.,Rip Torn,Richard Thomas,Comedy Drama,Wonder Boys
Craig Mazin,Drake Bell,Tracy Morgan,Marion Ross,Action Comedy Sci-Fi Thriller,Superhero Movie
Allen Hughes,Alona Tal,James Ransone,Michael Beach,Crime Drama Thriller,Broken City
Wes Craven,Shannon Elizabeth,Portia de Rossi,Derek Mears,Comedy Horror,Cursed
David Koepp,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,Action Crime Thriller,Premium Rush
Anne Fletcher,Jim Gaffigan,Richard T. Jones,Michael Mosley,Action Comedy Crime,Hot Pursuit
Shekhar Kapur,Djimon Hounsou,Lucy Gordon,Alex Jennings,Adventure Drama Romance War,The Four Feathers
Taylor Hackford,Jason Statham,Clifton Collins Jr.,Wendell Pierce,Action Crime Romance Thriller,Parker
Richard Loncraine,Kirsten Dunst,Jon Favreau,Austin Nichols,Comedy Romance Sport,Wimbledon
Roger Kumble,Brendan Fraser,Brooke Shields,Matt Prokop,Comedy Family,Furry Vengeance
Kimble Rendall,Alex Russell,Cariba Heine,Richard Brancatisano,Action Horror Sci-Fi,Bait
Peter Yates,Liam Neeson,Alun Armstrong,Lysette Anthony,Action Adventure Fantasy,Krull
Robert Redford,Meryl Streep,Tom Cruise,Andrew Garfield,Drama Thriller War,Lions for Lambs
John Milius,Rosanna Arquette,Dann Florek,Christopher Rich,Action Drama Thriller War,Flight of the Intruder
Jake Kasdan,Tim Meadows,Nat Faxon,Matt Price,Comedy Music,Walk Hard: The Dewey Cox Story
Lasse Hallström,Kevin Spacey,Scott Glenn,Jason Behr,Drama,The Shipping News
Les Mayfield,Gregory Smith,Ronny Cox,Harris Yulin,Action Western,American Outlaws
Jean-Marc Vallée,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,Biography Drama History Romance,The Young Victoria
Dominic Sena,Tom Skerritt,Bashar Rahal,Shawn Doyle,Action Crime Mystery Thriller,Whiteout
Terrence Malick,Brad Pitt,Tye Sheridan,Fiona Shaw,Drama Fantasy,The Tree of Life
Hark Tsui,Paul Sorvino,Lela Rochon,Ray Nicholas,Action Comedy Thriller,Knock Off
David Ayer,Mireille Enos,Martin Donovan,Maurice Compte,Action Crime Drama Thriller,Sabotage
Brian Helgeland,Heath Ledger,Mark Addy,Benno Fürmann,Action Mystery Thriller,The Order
Lexi Alexander,Julie Benz,Wayne Knight,Colin Salmon,Action Crime Drama Thriller,Punisher: War Zone
Peter Hewitt,Kevin Zegers,Rip Torn,Thomas F. Wilson,Action Adventure Family Sci-Fi,Zoom
Robert Zemeckis,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,Adventure Biography Drama Thriller,The Walk
Ronny Yu,Marley Shelton,Lee Arenberg,Angus Macfadyen,Action Adventure Fantasy,Warriors of Virtue
Ridley Scott,Archie Panjabi,Albert Finney,Richard Coyle,Comedy Drama Romance,A Good Year
unknown,Ruth Wilson,Indira Varma,Warren Brown,Crime Drama Mystery Thriller,Luther            
Richard Donner,Adam Baldwin,Thomas Ian Nicholas,John Heard,Drama,Radio Flyer
Taylor Hackford,Delroy Lindo,Jesse Borrego,Raymond Cruz,Crime Drama,"Blood In, Blood Out"
Bille August,Jim Broadbent,Tom Wilkinson,Julia Ormond,Action Drama Sci-Fi Thriller,Smilla's Sense of Snow
Brian De Palma,Peter Coyote,Gregg Henry,Rie Rasmussen,Crime Drama Mystery Thriller,Femme Fatale
Moustapha Akkad,Oliver Reed,Rod Steiger,John Gielgud,Biography Drama History War,Lion of the Desert
Jean-Paul Rappeneau,Olivier Martinez,François Cluzet,Isabelle Carré,Adventure Drama Romance War,The Horseman on the Roof
Ang Lee,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire,Drama Romance War Western,Ride with the Devil
Alejandro G. Iñárritu,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,Drama,Biutiful
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,The Lovers
Joachim Rønning,Salma Hayek,Sam Shepard,Dwight Yoakam,Action Comedy Crime Western,Bandidas
Tony Kaye,Bill Cobbs,Aisha Tyler,Beverly D'Angelo,Crime Drama,Black Water Transit
Wes Ball,Ki Hong Lee,Aml Ameen,Jacob Latimore,Action Mystery Sci-Fi Thriller,The Maze Runner
Ken Scott,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,Comedy,Unfinished Business
Martin Scorsese,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,Drama Romance,The Age of Innocence
Darren Aronofsky,Hugh Jackman,Ellen Burstyn,Mark Margolis,Drama Sci-Fi,The Fountain
Hugh Johnson,David Paymer,Kevin J. O'Connor,Hudson Leick,Action Adventure Comedy Drama Thriller,Chill Factor
Simon West,Nicolas Cage,Mark Valley,Sami Gayle,Action Crime Drama Thriller,Stolen
Hayao Miyazaki,Rumi Hiiragi,Yûki Amami,Yuria Nara,Adventure Animation Family Fantasy,Ponyo
George Tillman Jr.,Tiago Riani,Melissa Benoist,Hayley Lovitt,Drama Romance,The Longest Ride
Rand Ravich,Johnny Depp,Charlize Theron,Clea DuVall,Drama Sci-Fi Thriller,The Astronaut's Wife
Hugh Hudson,Liam Aiken,Eva Marie Saint,Vincent Perez,Adventure Drama Romance,I Dreamed of Africa
Gabriele Muccino,Gerard Butler,Dennis Quaid,Judy Greer,Comedy Romance Sport,Playing for Keeps
Justin Chadwick,Terry Pheto,Fana Mokoena,Tony Kgoroge,Biography Drama History,Mandela: Long Walk to Freedom
Warren Beatty,Paul Sorvino,Warren Beatty,M. Emmet Walsh,Biography Drama History Romance,Reds
Rob Reiner,Tom Cruise,Demi Moore,Kevin Pollak,Drama Thriller,A Few Good Men
Andrzej Bartkowiak,Michael Jai White,Bill Duke,Bruce McGill,Action Comedy Crime Drama Thriller,Exit Wounds
Raja Gosnell,Nia Long,Cedric the Entertainer,Tichina Arnold,Action Comedy Crime,Big Momma's House
Jeremy Degruson,Kyle Hebert,Brianne Brozey,Joe Ochman,Adventure Animation Comedy Family Fantasy,Thunder and the House of Magic
Chris Gorak,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,Action Adventure Horror Sci-Fi Thriller,The Darkest Hour
Scott Speer,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,Drama Music Romance,Step Up Revolution
David R. Ellis,Lin Shaye,Kenan Thompson,Rachel Blanchard,Action Adventure Crime Drama Thriller,Snakes on a Plane
Joe Charbanic,Keanu Reeves,Joseph Sikora,Chris Ellis,Crime Horror Mystery Thriller,The Watcher
Jonathan Hensleigh,Laura Harring,Marco St. John,Eddie Jemison,Action Crime Drama Thriller,The Punisher
Danny Cannon,Sean Pertwee,Kuno Becker,Stephen Dillane,Drama Romance Sport,Goal! The Dream Begins
Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,Action Crime Thriller,Safe
Mike Newell,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,Comedy Drama Romance,Pushing Tin
Richard Marquand,Harrison Ford,Ian McDiarmid,Kenny Baker,Action Adventure Fantasy Sci-Fi,Star Wars: Episode VI - Return of the Jedi
Neil Marshall,Ryan Kruger,Jason Cope,Jeremy Crutchley,Action Sci-Fi Thriller,Doomsday
Stephen Daldry,Kate Winslet,David Kross,Susanne Lothar,Drama Romance,The Reader
David Wain,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,Comedy,Wanderlust
Jon Favreau,Peter Dinklage,Zooey Deschanel,Will Ferrell,Comedy Family Fantasy Romance,Elf
Jon Turteltaub,Robert Duvall,Kyra Sedgwick,David Gallagher,Drama Fantasy Romance Sci-Fi,Phenomenon
Brian Levant,James Coburn,Nichelle Nichols,M. Emmet Walsh,Adventure Comedy Family Sport,Snow Dogs
Richard Donner,Bill Murray,Alfre Woodard,Robert Mitchum,Comedy Drama Fantasy,Scrooged
Jared Hess,Ana de la Reguera,Moises Arias,Héctor Jiménez,Comedy Family Sport,Nacho Libre
Paul Feig,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,Comedy Romance,Bridesmaids
Evan Goldberg,Channing Tatum,James Franco,Emma Watson,Comedy Fantasy,This Is the End
Rupert Wainwright,Nia Long,Enrico Colantoni,Portia de Rossi,Horror,Stigmata
George Tillman Jr.,Robert De Niro,Charlize Theron,Michael Rapaport,Biography Drama,Men of Honor
John Luessenhop,Paul Walker,Hayden Christensen,Jay Hernandez,Action Crime Thriller,Takers
Justin Zackham,Robin Williams,Robert De Niro,Topher Grace,Comedy,The Big Wedding
John Whitesell,Brandon T. Jackson,Tony Curran,Portia Doubleday,Action Comedy Crime,"Big Mommas: Like Father, Like Son"
Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,Mystery Sci-Fi Thriller,Source Code
Frank Marshall,Illeana Douglas,Danny Nucci,Michael DeLorenzo,Adventure Biography Drama Thriller,Alive
Joel Schumacher,Logan Lerman,Virginia Madsen,Ed Lauter,Mystery Thriller,The Number 23
Jean-Pierre Jeunet,Callum Rennie,Julian Richings,Judy Davis,Action Adventure Drama Family,The Young and Prodigious T.S. Spivet
Steven Spielberg,Christopher Lee,John Belushi,Treat Williams,Action Comedy War,1941
John Gatins,Ken Howard,Freddy Rodríguez,Holmes Osborne,Drama Family Sport,Dreamer: Inspired by a True Story
David Cronenberg,Viggo Mortensen,Kyle Schmid,William Hurt,Crime Drama Thriller,A History of Violence
Louis Leterrier,Jason Statham,Jason Flemyng,Matthew Modine,Action Crime Thriller,Transporter 2
Sam Raimi,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,Action Thriller Western,The Quick and the Dead
Peter Howitt,Frances Fisher,Mike Doyle,Nora Dunn,Comedy Romance,Laws of Attraction
Martin Scorsese,Nicolas Cage,Marc Anthony,Sonja Sohn,Drama Thriller,Bringing Out the Dead
Miguel Sapochnik,Alice Braga,RZA,Yvette Nicole Brown,Action Crime Sci-Fi Thriller,Repo Men
Hyung-rae Shim,Robert Forster,Aimee Garcia,Chris Mulkey,Action Drama Fantasy Horror Thriller,Dragon Wars: D-War
Norman Jewison,Haley Joel Osment,Nancy Travis,Andrea Martin,Comedy Family Fantasy,Bogus
Don Scardino,Steve Buscemi,Olivia Wilde,Steve Carell,Comedy,The Incredible Burt Wonderstone
Mark Dindal,George Kennedy,Frank Welker,Hal Holbrook,Animation Comedy Family Fantasy Musical,Cats Don't Dance
Tim Robbins,Bill Murray,Vanessa Redgrave,Emily Watson,Drama,Cradle Will Rock
Steven Soderbergh,Tony Curran,Beau Bridges,Leland Orser,Drama Mystery Thriller,The Good German
Tom Reeve,Joan Plowright,Rollo Weeks,Simon Callow,Action Adventure Comedy Fantasy Romance,George and the Dragon
Francis Ford Coppola,Harrison Ford,Marlon Brando,Robert Duvall,Drama War,Apocalypse Now
Nanette Burstein,Rob Riggle,Kelli Garner,Jim Gaffigan,Comedy Romance,Going the Distance
Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,Drama Music,Mr. Holland's Opus
Ariel Vromen,Gary Oldman,Jordi Mollà,Doug Cockle,Action Crime Drama Mystery Sci-Fi Thriller,Criminal
Sydney Pollack,Meryl Streep,Michael Gough,Michael Kitchen,Biography Drama Romance,Out of Africa
Robert Zemeckis,Denzel Washington,Bruce Greenwood,Nadine Velazquez,Drama Thriller,Flight
Lewis Gilbert,Desmond Llewelyn,Lois Chiles,Lois Maxwell,Action Adventure Sci-Fi Thriller,Moonraker
Wes Anderson,Bill Murray,Tom Wilkinson,F. Murray Abraham,Adventure Comedy Crime Drama,The Grand Budapest Hotel
Scott Hicks,Anthony Hopkins,Mika Boorem,Hope Davis,Drama Mystery,Hearts in Atlantis
Frank Marshall,Julian Sands,Peter Jason,Brian McNamara,Comedy Fantasy Horror Thriller,Arachnophobia
Gregory Hoblit,Dennis Quaid,Andre Braugher,Noah Emmerich,Crime Drama Mystery Sci-Fi Thriller,Frequency
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,Ghostbusters
John Francis Daley,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,Adventure Comedy,Vacation
Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,Comedy Crime Thriller,Get Shorty
Rob Marshall,Colm Feore,Chita Rivera,Jayne Eastwood,Comedy Crime Musical,Chicago
Dennis Dugan,Steve Buscemi,Adam Sandler,Joey Lauren Adams,Comedy Drama,Big Daddy
J.B. Rogers,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,American Pie 2
John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,Adventure Animation Comedy Family Fantasy,Toy Story
Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,Action Adventure Crime Thriller,Speed
Michael Sucsy,Channing Tatum,Lucas Bryant,Dillon Casey,Drama Romance,The Vow
Tom Vaughan,Harrison Ford,Brendan Fraser,Alan Ruck,Drama,Extraordinary Measures
Boaz Yakin,Ryan Gosling,Denzel Washington,Ethan Suplee,Biography Drama Sport,Remember the Titans
