director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue,Action Adventure Comedy Thriller,Street Fighter,Ming-Na Wen Raul Julia Kylie Minogue Steven E. de Souza Action Adventure Comedy Thriller
Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard,Biography Drama War,The Pianist,Emilia Fox Frank Finlay Ed Stoppard Roman Polanski Biography Drama War
Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson,Horror Mystery Thriller,From Hell,Johnny Depp Jason Flemyng Ian Richardson Albert Hughes Horror Mystery Thriller
Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,Drama Family Fantasy,The Nativity Story,Keisha Castle-Hughes Hiam Abbass Shaun Toub Catherine Hardwicke Drama Family Fantasy
Mike Nichols,Natalie Portman,Julia Roberts,Colin Stinton,Drama Romance,Closer,Natalie Portman Julia Roberts Colin Stinton Mike Nichols Drama Romance
Clint Eastwood,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,Biography Crime Drama,J. Edgar,Leonardo DiCaprio Naomi Watts Kaitlyn Dever Clint Eastwood Biography Crime Drama
Alexandre Aja,Jason Flemyng,Cameron Boyce,Julian Glover,Horror Mystery,Mirrors,Jason Flemyng Cameron Boyce Julian Glover Alexandre Aja Horror Mystery
Michael Rymer,Aaliyah,Lena Olin,Bruce Spence,Drama Fantasy Horror,Queen of the Damned,Aaliyah Lena Olin Bruce Spence Michael Rymer Drama Fantasy Horror
Stephen Hopkins,Adam Baldwin,Robert Davi,Kevin Peter Hall,Action Horror Sci-Fi,Predator 2,Adam Baldwin Robert Davi Kevin Peter Hall Stephen Hopkins Action Horror Sci-Fi
Gregory Hoblit,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,Crime Drama Thriller,Untraceable,Billy Burke Jesse Tyler Ferguson Joseph Cross Gregory Hoblit Crime Drama Thriller
Hugh Wilson,Brendan Fraser,Sissy Spacek,Douglas Smith,Comedy Drama Romance Sci-Fi,Blast from the Past,Brendan Fraser Sissy Spacek Douglas Smith Hugh Wilson Comedy Drama Romance Sci-Fi
Mike Hodges,Brian Blessed,William Hootkins,Sam J. Jones,Action Adventure Sci-Fi,Flash Gordon,Brian Blessed William Hootkins Sam J. Jones Mike Hodges Action Adventure Sci-Fi
Kevin Smith,Stephen Root,Mike Starr,George Carlin,Comedy Drama Romance,Jersey Girl,Stephen Root Mike Starr George Carlin Kevin Smith Comedy Drama Romance
Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo,Action Crime Mystery Thriller,Alex Cross,Cicely Tyson Chad Lindberg Carmen Ejogo Rob Cohen Action Crime Mystery Thriller
Clint Eastwood,Kevin Spacey,Bob Gunton,Leon Rippy,Crime Drama Mystery Thriller,Midnight in the Garden of Good and Evil,Kevin Spacey Bob Gunton Leon Rippy Clint Eastwood Crime Drama Mystery Thriller
Susanna White,Daniel Mays,Bill Bailey,Eros Vlahos,Comedy Family Fantasy,Nanny McPhee Returns,Daniel Mays Bill Bailey Eros Vlahos Susanna White Comedy Family Fantasy
Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle,Biography Crime Drama,Hoffa,Frank Whaley J.T. Walsh Paul Guilfoyle Danny DeVito Biography Crime Drama
Chris Carter,Mitch Pileggi,Callum Rennie,Nicki Aycox,Drama Mystery Sci-Fi Thriller,The X Files: I Want to Believe,Mitch Pileggi Callum Rennie Nicki Aycox Chris Carter Drama Mystery Sci-Fi Thriller
Tommy O'Haver,Anne Hathaway,Steve Coogan,Joanna Lumley,Comedy Family Fantasy Romance,Ella Enchanted,Anne Hathaway Steve Coogan Joanna Lumley Tommy O'Haver Comedy Family Fantasy Romance
Peter Landesman,Will Smith,Eddie Marsan,Albert Brooks,Biography Drama Sport,Concussion,Will Smith Eddie Marsan Albert Brooks Peter Landesman Biography Drama Sport
John Singleton,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,Action Mystery Thriller,Abduction,Ken Arnold Benjamin J. Cain Jr. Richard Cetrone John Singleton Action Mystery Thriller
Gary Chapman,Jim Broadbent,Olivia Williams,Pip Torrens,Adventure Animation Comedy Family War,Valiant,Jim Broadbent Olivia Williams Pip Torrens Gary Chapman Adventure Animation Comedy Family War
Curtis Hanson,Robert Downey Jr.,Rip Torn,Richard Thomas,Comedy Drama,Wonder Boys,Robert Downey Jr. Rip Torn Richard Thomas Curtis Hanson Comedy Drama
Craig Mazin,Drake Bell,Tracy Morgan,Marion Ross,Action Comedy Sci-Fi Thriller,Superhero Movie,Drake Bell Tracy Morgan Marion Ross Craig Mazin Action Comedy Sci-Fi Thriller
Allen Hughes,Alona Tal,James Ransone,Michael Beach,Crime Drama Thriller,Broken City,Alona Tal James Ransone Michael Beach Allen Hughes Crime Drama Thriller
Wes Craven,Shannon Elizabeth,Portia de Rossi,Derek Mears,Comedy Horror,Cursed,Shannon Elizabeth Portia de Rossi Derek Mears Wes Craven Comedy Horror
David Koepp,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,Action Crime Thriller,Premium Rush,Joseph Gordon-Levitt Dania Ramirez Aasif Mandvi David Koepp Action Crime Thriller
Anne Fletcher,Jim Gaffigan,Richard T. Jones,Michael Mosley,Action Comedy Crime,Hot Pursuit,Jim Gaffigan Richard T. Jones Michael Mosley Anne Fletcher Action Comedy Crime
Shekhar Kapur,Djimon Hounsou,Lucy Gordon,Alex Jennings,Adventure Drama Romance War,The Four Feathers,Djimon Hounsou Lucy Gordon Alex Jennings Shekhar Kapur Adventure Drama Romance War
Taylor Hackford,Jason Statham,Clifton Collins Jr.,Wendell Pierce,Action Crime Romance Thriller,Parker,Jason Statham Clifton Collins Jr. Wendell Pierce Taylor Hackford Action Crime Romance Thriller
Richard Loncraine,Kirsten Dunst,Jon Favreau,Austin Nichols,Comedy Romance Sport,Wimbledon,Kirsten Dunst Jon Favreau Austin Nichols Richard Loncraine Comedy Romance Sport
Roger Kumble,Brendan Fraser,Brooke Shields,Matt Prokop,Comedy Family,Furry Vengeance,Brendan Fraser Brooke Shields Matt Prokop Roger Kumble Comedy Family
Kimble Rendall,Alex Russell,Cariba Heine,Richard Brancatisano,Action Horror Sci-Fi,Bait,Alex Russell Cariba Heine Richard Brancatisano Kimble Rendall Action Horror Sci-Fi
Peter Yates,Liam Neeson,Alun Armstrong,Lysette Anthony,Action Adventure Fantasy,Krull,Liam Neeson Alun Armstrong Lysette Anthony Peter Yates Action Adventure Fantasy
Robert Redford,Meryl Streep,Tom Cruise,Andrew Garfield,Drama Thriller War,Lions for Lambs,Meryl Streep Tom Cruise Andrew Garfield Robert Redford Drama Thriller War
John Milius,Rosanna Arquette,Dann Florek,Christopher Rich,Action Drama Thriller War,Flight of the Intruder,Rosanna Arquette Dann Florek Christopher Rich John Milius Action Drama Thriller War
Jake Kasdan,Tim Meadows,Nat Faxon,Matt Price,Comedy Music,Walk Hard: The Dewey Cox Story,Tim Meadows Nat Faxon Matt Price Jake Kasdan Comedy Music
Lasse Hallström,Kevin Spacey,Scott Glenn,Jason Behr,Drama,The Shipping News,Kevin Spacey Scott Glenn Jason Behr Lasse Hallström Drama
Les Mayfield,Gregory Smith,Ronny Cox,Harris Yulin,Action Western,American Outlaws,Gregory Smith Ronny Cox Harris Yulin Les Mayfield Action Western
Jean-Marc Vallée,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,Biography Drama History Romance,The Young Victoria,Michiel Huisman Jim Broadbent Thomas Kretschmann Jean-Marc Vallée Biography Drama History Romance
Dominic Sena,Tom Skerritt,Bashar Rahal,Shawn Doyle,Action Crime Mystery Thriller,Whiteout,Tom Skerritt Bashar Rahal Shawn Doyle Dominic Sena Action Crime Mystery Thriller
Terrence Malick,Brad Pitt,Tye Sheridan,Fiona Shaw,Drama Fantasy,The Tree of Life,Brad Pitt Tye Sheridan Fiona Shaw Terrence Malick Drama Fantasy
Hark Tsui,Paul Sorvino,Lela Rochon,Ray Nicholas,Action Comedy Thriller,Knock Off,Paul Sorvino Lela Rochon Ray Nicholas Hark Tsui Action Comedy Thriller
Brian Helgeland,Heath Ledger,Mark Addy,Benno Fürmann,Action Mystery Thriller,The Order,Heath Ledger Mark Addy Benno Fürmann Brian Helgeland Action Mystery Thriller
Lexi Alexander,Julie Benz,Wayne Knight,Colin Salmon,Action Crime Drama Thriller,Punisher: War Zone,Julie Benz Wayne Knight Colin Salmon Lexi Alexander Action Crime Drama Thriller
Peter Hewitt,Kevin Zegers,Rip Torn,Thomas F. Wilson,Action Adventure Family Sci-Fi,Zoom,Kevin Zegers Rip Torn Thomas F. Wilson Peter Hewitt Action Adventure Family Sci-Fi
Robert Zemeckis,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,Adventure Biography Drama Thriller,The Walk,Joseph Gordon-Levitt Soleyman Pierini Jade Kindar-Martin Robert Zemeckis Adventure Biography Drama Thriller
Ronny Yu,Marley Shelton,Lee Arenberg,Angus Macfadyen,Action Adventure Fantasy,Warriors of Virtue,Marley Shelton Lee Arenberg Angus Macfadyen Ronny Yu Action Adventure Fantasy
Ridley Scott,Archie Panjabi,Albert Finney,Richard Coyle,Comedy Drama Romance,A Good Year,Archie Panjabi Albert Finney Richard Coyle Ridley Scott Comedy Drama Romance
unknown,Ruth Wilson,Indira Varma,Warren Brown,Crime Drama Mystery Thriller,Luther            ,Ruth Wilson Indira Varma Warren Brown unknown Crime Drama Mystery Thriller
Richard Donner,Adam Baldwin,Thomas Ian Nicholas,John Heard,Drama,Radio Flyer,Adam Baldwin Thomas Ian Nicholas John Heard Richard Donner Drama
Taylor Hackford,Delroy Lindo,Jesse Borrego,Raymond Cruz,Crime Drama,"Blood In, Blood Out",Delroy Lindo Jesse Borrego Raymond Cruz Taylor Hackford Crime Drama
Bille August,Jim Broadbent,Tom Wilkinson,Julia Ormond,Action Drama Sci-Fi Thriller,Smilla's Sense of Snow,Jim Broadbent Tom Wilkinson Julia Ormond Bille August Action Drama Sci-Fi Thriller
Brian De Palma,Peter Coyote,Gregg Henry,Rie Rasmussen,Crime Drama Mystery Thriller,Femme Fatale,Peter Coyote Gregg Henry Rie Rasmussen Brian De Palma Crime Drama Mystery Thriller
Moustapha Akkad,Oliver Reed,Rod Steiger,John Gielgud,Biography Drama History War,Lion of the Desert,Oliver Reed Rod Steiger John Gielgud Moustapha Akkad Biography Drama History War
Jean-Paul Rappeneau,Olivier Martinez,François Cluzet,Isabelle Carré,Adventure Drama Romance War,The Horseman on the Roof,Olivier Martinez François Cluzet Isabelle Carré Jean-Paul Rappeneau Adventure Drama Romance War
Ang Lee,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire,Drama Romance War Western,Ride with the Devil,Jeremy W. Auman Jeffrey Dover Tobey Maguire Ang Lee Drama Romance War Western
Alejandro G. Iñárritu,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,Drama,Biutiful,Maricel Álvarez Hanaa Bouchaib Eduard Fernández Alejandro G. Iñárritu Drama
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,The Lovers,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action Adventure Romance Sci-Fi
Joachim Rønning,Salma Hayek,Sam Shepard,Dwight Yoakam,Action Comedy Crime Western,Bandidas,Salma Hayek Sam Shepard Dwight Yoakam Joachim Rønning Action Comedy Crime Western
Tony Kaye,Bill Cobbs,Aisha Tyler,Beverly D'Angelo,Crime Drama,Black Water Transit,Bill Cobbs Aisha Tyler Beverly D'Angelo Tony Kaye Crime Drama
Wes Ball,Ki Hong Lee,Aml Ameen,Jacob Latimore,Action Mystery Sci-Fi Thriller,The Maze Runner,Ki Hong Lee Aml Ameen Jacob Latimore Wes Ball Action Mystery Sci-Fi Thriller
Ken Scott,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,Comedy,Unfinished Business,Tom Wilkinson June Diane Raphael Melissa McMeekin Ken Scott Comedy
Martin Scorsese,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,Drama Romance,The Age of Innocence,Richard E. Grant Geraldine Chaplin Stuart Wilson Martin Scorsese Drama Romance
Darren Aronofsky,Hugh Jackman,Ellen Burstyn,Mark Margolis,Drama Sci-Fi,The Fountain,Hugh Jackman Ellen Burstyn Mark Margolis Darren Aronofsky Drama Sci-Fi
Hugh Johnson,David Paymer,Kevin J. O'Connor,Hudson Leick,Action Adventure Comedy Drama Thriller,Chill Factor,David Paymer Kevin J. O'Connor Hudson Leick Hugh Johnson Action Adventure Comedy Drama Thriller
Simon West,Nicolas Cage,Mark Valley,Sami Gayle,Action Crime Drama Thriller,Stolen,Nicolas Cage Mark Valley Sami Gayle Simon West Action Crime Drama Thriller
Hayao Miyazaki,Rumi Hiiragi,Yûki Amami,Yuria Nara,Adventure Animation Family Fantasy,Ponyo,Rumi Hiiragi Yûki Amami Yuria Nara Hayao Miyazaki Adventure Animation Family Fantasy
George Tillman Jr.,Tiago Riani,Melissa Benoist,Hayley Lovitt,Drama Romance,The Longest Ride,Tiago Riani Melissa Benoist Hayley Lovitt George Tillman Jr. Drama Romance
Hugh Hudson,Liam Aiken,Eva Marie Saint,Vincent Perez,Adventure Drama Romance,I Dreamed of Africa,Liam Aiken Eva Marie Saint Vincent Perez Hugh Hudson Adventure Drama Romance
Gabriele Muccino,Gerard Butler,Dennis Quaid,Judy Greer,Comedy Romance Sport,Playing for Keeps,Gerard Butler Dennis Quaid Judy Greer Gabriele Muccino Comedy Romance Sport
Justin Chadwick,Terry Pheto,Fana Mokoena,Tony Kgoroge,Biography Drama History,Mandela: Long Walk to Freedom,Terry Pheto Fana Mokoena Tony Kgoroge Justin Chadwick Biography Drama History
Warren Beatty,Paul Sorvino,Warren Beatty,M. Emmet Walsh,Biography Drama History Romance,Reds,Paul Sorvino Warren Beatty M. Emmet Walsh Warren Beatty Biography Drama History Romance
Rob Reiner,Tom Cruise,Demi Moore,Kevin Pollak,Drama Thriller,A Few Good Men,Tom Cruise Demi Moore Kevin Pollak Rob Reiner Drama Thriller
Andrzej Bartkowiak,Michael Jai White,Bill Duke,Bruce McGill,Action Comedy Crime Drama Thriller,Exit Wounds,Michael Jai White Bill Duke Bruce McGill Andrzej Bartkowiak Action Comedy Crime Drama Thriller
Raja Gosnell,Nia Long,Cedric the Entertainer,Tichina Arnold,Action Comedy Crime,Big Momma's House,Nia Long Cedric the Entertainer Tichina Arnold Raja Gosnell Action Comedy Crime
Jeremy Degruson,Kyle Hebert,Brianne Brozey,Joe Ochman,Adventure Animation Comedy Family Fantasy,Thunder and the House of Magic,Kyle Hebert Brianne Brozey Joe Ochman Jeremy Degruson Adventure Animation Comedy Family Fantasy
Chris Gorak,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,Action Adventure Horror Sci-Fi Thriller,The Darkest Hour,Max Minghella Veronika Vernadskaya Dato Bakhtadze Chris Gorak Action Adventure Horror Sci-Fi Thriller
Scott Speer,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,Drama Music Romance,Step Up Revolution,Ryan Guzman Stephen Boss Misha Gabriel Hamilton Scott Speer Drama Music Romance
Joe Charbanic,Keanu Reeves,Joseph Sikora,Chris Ellis,Crime Horror Mystery Thriller,The Watcher,Keanu Reeves Joseph Sikora Chris Ellis Joe Charbanic Crime Horror Mystery Thriller
Jonathan Hensleigh,Laura Harring,Marco St. John,Eddie Jemison,Action Crime Drama Thriller,The Punisher,Laura Harring Marco St. John Eddie Jemison Jonathan Hensleigh Action Crime Drama Thriller
Danny Cannon,Sean Pertwee,Kuno Becker,Stephen Dillane,Drama Romance Sport,Goal! The Dream Begins,Sean Pertwee Kuno Becker Stephen Dillane Danny Cannon Drama Romance Sport
Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,Action Crime Thriller,Safe,Jason Statham Reggie Lee Robert John Burke Boaz Yakin Action Crime Thriller
Mike Newell,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,Comedy Drama Romance,Pushing Tin,Angelina Jolie Pitt Kurt Fuller Jake Weber Mike Newell Comedy Drama Romance
Richard Marquand,Harrison Ford,Ian McDiarmid,Kenny Baker,Action Adventure Fantasy Sci-Fi,Star Wars: Episode VI - Return of the Jedi,Harrison Ford Ian McDiarmid Kenny Baker Richard Marquand Action Adventure Fantasy Sci-Fi
Neil Marshall,Ryan Kruger,Jason Cope,Jeremy Crutchley,Action Sci-Fi Thriller,Doomsday,Ryan Kruger Jason Cope Jeremy Crutchley Neil Marshall Action Sci-Fi Thriller
Stephen Daldry,Kate Winslet,David Kross,Susanne Lothar,Drama Romance,The Reader,Kate Winslet David Kross Susanne Lothar Stephen Daldry Drama Romance
David Wain,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,Comedy,Wanderlust,Justin Theroux Lauren Ambrose Joe Lo Truglio David Wain Comedy
Jon Favreau,Peter Dinklage,Zooey Deschanel,Will Ferrell,Comedy Family Fantasy Romance,Elf,Peter Dinklage Zooey Deschanel Will Ferrell Jon Favreau Comedy Family Fantasy Romance
Jon Turteltaub,Robert Duvall,Kyra Sedgwick,David Gallagher,Drama Fantasy Romance Sci-Fi,Phenomenon,Robert Duvall Kyra Sedgwick David Gallagher Jon Turteltaub Drama Fantasy Romance Sci-Fi
Brian Levant,James Coburn,Nichelle Nichols,M. Emmet Walsh,Adventure Comedy Family Sport,Snow Dogs,James Coburn Nichelle Nichols M. Emmet Walsh Brian Levant Adventure Comedy Family Sport
Richard Donner,Bill Murray,Alfre Woodard,Robert Mitchum,Comedy Drama Fantasy,Scrooged,Bill Murray Alfre Woodard Robert Mitchum Richard Donner Comedy Drama Fantasy
Jared Hess,Ana de la Reguera,Moises Arias,Héctor Jiménez,Comedy Family Sport,Nacho Libre,Ana de la Reguera Moises Arias Héctor Jiménez Jared Hess Comedy Family Sport
Paul Feig,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,Comedy Romance,Bridesmaids,Matt Lucas Wendi McLendon-Covey Steve Bannos Paul Feig Comedy Romance
Evan Goldberg,Channing Tatum,James Franco,Emma Watson,Comedy Fantasy,This Is the End,Channing Tatum James Franco Emma Watson Evan Goldberg Comedy Fantasy
Rupert Wainwright,Nia Long,Enrico Colantoni,Portia de Rossi,Horror,Stigmata,Nia Long Enrico Colantoni Portia de Rossi Rupert Wainwright Horror
George Tillman Jr.,Robert De Niro,Charlize Theron,Michael Rapaport,Biography Drama,Men of Honor,Robert De Niro Charlize Theron Michael Rapaport George Tillman Jr. Biography Drama
John Luessenhop,Paul Walker,Hayden Christensen,Jay Hernandez,Action Crime Thriller,Takers,Paul Walker Hayden Christensen Jay Hernandez John Luessenhop Action Crime Thriller
Justin Zackham,Robin Williams,Robert De Niro,Topher Grace,Comedy,The Big Wedding,Robin Williams Robert De Niro Topher Grace Justin Zackham Comedy
John Whitesell,Brandon T. Jackson,Tony Curran,Portia Doubleday,Action Comedy Crime,"Big Mommas: Like Father, Like Son",Brandon T. Jackson Tony Curran Portia Doubleday John Whitesell Action Comedy Crime
Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,Mystery Sci-Fi Thriller,Source Code,Jake Gyllenhaal Cas Anvar Russell Peters Duncan Jones Mystery Sci-Fi Thriller
Frank Marshall,Illeana Douglas,Danny Nucci,Michael DeLorenzo,Adventure Biography Drama Thriller,Alive,Illeana Douglas Danny Nucci Michael DeLorenzo Frank Marshall Adventure Biography Drama Thriller
Joel Schumacher,Logan Lerman,Virginia Madsen,Ed Lauter,Mystery Thriller,The Number 23,Logan Lerman Virginia Madsen Ed Lauter Joel Schumacher Mystery Thriller
Jean-Pierre Jeunet,Callum Rennie,Julian Richings,Judy Davis,Action Adventure Drama Family,The Young and Prodigious T.S. Spivet,Callum Rennie Julian Richings Judy Davis Jean-Pierre Jeunet Action Adventure Drama Family
Steven Spielberg,Christopher Lee,John Belushi,Treat Williams,Action Comedy War,1941,Christopher Lee John Belushi Treat Williams Steven Spielberg Action Comedy War
John Gatins,Ken Howard,Freddy Rodríguez,Holmes Osborne,Drama Family Sport,Dreamer: Inspired by a True Story,Ken Howard Freddy Rodríguez Holmes Osborne John Gatins Drama Family Sport
David Cronenberg,Viggo Mortensen,Kyle Schmid,William Hurt,Crime Drama Thriller,A History of Violence,Viggo Mortensen Kyle Schmid William Hurt David Cronenberg Crime Drama Thriller
Louis Leterrier,Jason Statham,Jason Flemyng,Matthew Modine,Action Crime Thriller,Transporter 2,Jason Statham Jason Flemyng Matthew Modine Louis Leterrier Action Crime Thriller
Sam Raimi,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,Action Thriller Western,The Quick and the Dead,Leonardo DiCaprio Pat Hingle Roberts Blossom Sam Raimi Action Thriller Western
Peter Howitt,Frances Fisher,Mike Doyle,Nora Dunn,Comedy Romance,Laws of Attraction,Frances Fisher Mike Doyle Nora Dunn Peter Howitt Comedy Romance
Martin Scorsese,Nicolas Cage,Marc Anthony,Sonja Sohn,Drama Thriller,Bringing Out the Dead,Nicolas Cage Marc Anthony Sonja Sohn Martin Scorsese Drama Thriller
Miguel Sapochnik,Alice Braga,RZA,Yvette Nicole Brown,Action Crime Sci-Fi Thriller,Repo Men,Alice Braga RZA Yvette Nicole Brown Miguel Sapochnik Action Crime Sci-Fi Thriller
Hyung-rae Shim,Robert Forster,Aimee Garcia,Chris Mulkey,Action Drama Fantasy Horror Thriller,Dragon Wars: D-War,Robert Forster Aimee Garcia Chris Mulkey Hyung-rae Shim Action Drama Fantasy Horror Thriller
Norman Jewison,Haley Joel Osment,Nancy Travis,Andrea Martin,Comedy Family Fantasy,Bogus,Haley Joel Osment Nancy Travis Andrea Martin Norman Jewison Comedy Family Fantasy
Don Scardino,Steve Buscemi,Olivia Wilde,Steve Carell,Comedy,The Incredible Burt Wonderstone,Steve Buscemi Olivia Wilde Steve Carell Don Scardino Comedy
Mark Dindal,George Kennedy,Frank Welker,Hal Holbrook,Animation Comedy Family Fantasy Musical,Cats Don't Dance,George Kennedy Frank Welker Hal Holbrook Mark Dindal Animation Comedy Family Fantasy Musical
Tim Robbins,Bill Murray,Vanessa Redgrave,Emily Watson,Drama,Cradle Will Rock,Bill Murray Vanessa Redgrave Emily Watson Tim Robbins Drama
Steven Soderbergh,Tony Curran,Beau Bridges,Leland Orser,Drama Mystery Thriller,The Good German,Tony Curran Beau Bridges Leland Orser Steven Soderbergh Drama Mystery Thriller
Tom Reeve,Joan Plowright,Rollo Weeks,Simon Callow,Action Adventure Comedy Fantasy Romance,George and the Dragon,Joan Plowright Rollo Weeks Simon Callow Tom Reeve Action Adventure Comedy Fantasy Romance
Francis Ford Coppola,Harrison Ford,Marlon Brando,Robert Duvall,Drama War,Apocalypse Now,Harrison Ford Marlon Brando Robert Duvall Francis Ford Coppola Drama War
Nanette Burstein,Rob Riggle,Kelli Garner,Jim Gaffigan,Comedy Romance,Going the Distance,Rob Riggle Kelli Garner Jim Gaffigan Nanette Burstein Comedy Romance
Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,Drama Music,Mr. Holland's Opus,Alicia Witt Olympia Dukakis Jean Louisa Kelly Stephen Herek Drama Music
Ariel Vromen,Gary Oldman,Jordi Mollà,Doug Cockle,Action Crime Drama Mystery Sci-Fi Thriller,Criminal,Gary Oldman Jordi Mollà Doug Cockle Ariel Vromen Action Crime Drama Mystery Sci-Fi Thriller
Sydney Pollack,Meryl Streep,Michael Gough,Michael Kitchen,Biography Drama Romance,Out of Africa,Meryl Streep Michael Gough Michael Kitchen Sydney Pollack Biography Drama Romance
Robert Zemeckis,Denzel Washington,Bruce Greenwood,Nadine Velazquez,Drama Thriller,Flight,Denzel Washington Bruce Greenwood Nadine Velazquez Robert Zemeckis Drama Thriller
Lewis Gilbert,Desmond Llewelyn,Lois Chiles,Lois Maxwell,Action Adventure Sci-Fi Thriller,Moonraker,Desmond Llewelyn Lois Chiles Lois Maxwell Lewis Gilbert Action Adventure Sci-Fi Thriller
Wes Anderson,Bill Murray,Tom Wilkinson,F. Murray Abraham,Adventure Comedy Crime Drama,The Grand Budapest Hotel,Bill Murray Tom Wilkinson F. Murray Abraham Wes Anderson Adventure Comedy Crime Drama
Scott Hicks,Anthony Hopkins,Mika Boorem,Hope Davis,Drama Mystery,Hearts in Atlantis,Anthony Hopkins Mika Boorem Hope Davis Scott Hicks Drama Mystery
Frank Marshall,Julian Sands,Peter Jason,Brian McNamara,Comedy Fantasy Horror Thriller,Arachnophobia,Julian Sands Peter Jason Brian McNamara Frank Marshall Comedy Fantasy Horror Thriller
Gregory Hoblit,Dennis Quaid,Andre Braugher,Noah Emmerich,Crime Drama Mystery Sci-Fi Thriller,Frequency,Dennis Quaid Andre Braugher Noah Emmerich Gregory Hoblit Crime Drama Mystery Sci-Fi Thriller
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,Ghostbusters,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Sci-Fi
John Francis Daley,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,Adventure Comedy,Vacation,Chris Hemsworth Norman Reedus Beverly D'Angelo John Francis Daley Adventure Comedy
Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,Comedy Crime Thriller,Get Shorty,Delroy Lindo Rene Russo Jon Gries Barry Sonnenfeld Comedy Crime Thriller
Rob Marshall,Colm Feore,Chita Rivera,Jayne Eastwood,Comedy Crime Musical,Chicago,Colm Feore Chita Rivera Jayne Eastwood Rob Marshall Comedy Crime Musical
Dennis Dugan,Steve Buscemi,Adam Sandler,Joey Lauren Adams,Comedy Drama,Big Daddy,Steve Buscemi Adam Sandler Joey Lauren Adams Dennis Dugan Comedy Drama
J.B. Rogers,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,American Pie 2,Alyson Hannigan Shannon Elizabeth Natasha Lyonne J.B. Rogers Comedy
John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,Adventure Animation Comedy Family Fantasy,Toy Story,Tom Hanks John Ratzenberger Jim Varney John Lasseter Adventure Animation Comedy Family Fantasy
Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,Action Adventure Crime Thriller,Speed,Keanu Reeves Alan Ruck Joe Morton Jan de Bont Action Adventure Crime Thriller
Michael Sucsy,Channing Tatum,Lucas Bryant,Dillon Casey,Drama Romance,The Vow,Channing Tatum Lucas Bryant Dillon Casey Michael Sucsy Drama Romance
Tom Vaughan,Harrison Ford,Brendan Fraser,Alan Ruck,Drama,Extraordinary Measures,Harrison Ford Brendan Fraser Alan Ruck Tom Vaughan Drama
Boaz Yakin,Ryan Gosling,Denzel Washington,Ethan Suplee,Biography Drama Sport,Remember the Titans,Ryan Gosling Denzel Washington Ethan Suplee Boaz Yakin Biography Drama Sport
John McTiernan,Scott Glenn,Jeffrey Jones,Courtney B. Vance,Action Adventure Thriller,The Hunt for Red October,Scott Glenn Jeffrey Jones Courtney B. Vance John McTiernan Action Adventure Thriller
Lee Daniels,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,Biography Drama,Lee Daniels' The Butler,Alex Pettyfer David Oyelowo Vanessa Redgrave Lee Daniels Biography Drama
Barry Sonnenfeld,Anjelica Huston,Raul Julia,Carel Struycken,Comedy Fantasy,The Addams Family,Anjelica Huston Raul Julia Carel Struycken Barry Sonnenfeld Comedy Fantasy
Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,Adventure Comedy,Ace Ventura: When Nature Calls,Bruce Spence Bob Gunton Sophie Okonedo Steve Oedekerk Adventure Comedy
